#separator:tab
#html:true
#columns:Key	Component	Pinyin	Meaning	MemberChars	SameSyllableChars	Reliability	Productivity	Frequency	Decomposition	CrossRefs	Note	Link	Audio	Tags
#tags column:15
必:bi4	必	bì	certainly / must / will / necessarily	秘毖邲閟铋			16	248	once:心+丿;radical:心+丿			https://hanzicraft.com/dashboard/character/%E5%BF%85%E7%A7%98%E6%AF%96%E9%82%B2%E9%96%9F%E9%93%8B	[sound:bi4.mp3]	phonetic-component
毕:bi4	毕	bì	the whole of / to finish / to complete / complete / full / finished	陛跸哔荜		7/7	4	1091	once:比+十;radical:比+十			https://hanzicraft.com/dashboard/character/%E6%AF%95%E9%99%9B%E8%B7%B8%E5%93%94%E8%8D%9C	[sound:bi4.mp3]	phonetic-component
卞:bian4	卞	biàn	hurried	汴苄忭			5	4516	once:亠+卜;radical:亠+卜			https://hanzicraft.com/dashboard/character/%E5%8D%9E%E6%B1%B4%E8%8B%84%E5%BF%AD	[sound:bian4.mp3]	phonetic-component
辡:bian4	辡	biàn	2x pepper	辩辯辨辫辮			6		once:辛			https://hanzicraft.com/dashboard/character/%E8%BE%A1%E8%BE%A9%E8%BE%AF%E8%BE%A8%E8%BE%AB%E8%BE%AE	[sound:bian4.mp3]	phonetic-component
表:biao3	表	biǎo	exterior surface / family relationship via females / to show (one's opinion) / a model / a table (listing information) / a form / a meter (measuring sth)	錶婊裱			4	177	once:龶+𧘇;radical:龶+㇒+㇗+?			https://hanzicraft.com/dashboard/character/%E8%A1%A8%E9%8C%B6%E5%A9%8A%E8%A3%B1	[sound:biao3.mp3]	phonetic-component
宾:bin1	宾	bīn	visitor / guest / object (in grammar)	滨缤傧镔	鬓殡摈膑髌		11	1532	once:宀+兵;radical:宀+兵			https://hanzicraft.com/dashboard/character/%E5%AE%BE%E6%BB%A8%E7%BC%A4%E5%82%A7%E9%95%94	[sound:bin1.mp3]	phonetic-component
賓:bin1	賓	bīn	visitor / guest / object (in grammar)	濱繽鑌	臏髕鬢		4	1532	once:宀+?;radical:宀+一+小+丿+貝			https://hanzicraft.com/dashboard/character/%E8%B3%93%E6%BF%B1%E7%B9%BD%E9%91%8C	[sound:bin1.mp3]	phonetic-component
丙:bing3	丙	bǐng	third of 10 heavenly stems 十天干 / third in order / letter "C" or roman "III" in list "A, B, C", or "I, II, III" etc / propyl	柄炳邴	病		5	2639	once:一+内;radical:一+人+冂			https://hanzicraft.com/dashboard/character/%E4%B8%99%E6%9F%84%E7%82%B3%E9%82%B4	[sound:bing3.mp3]	phonetic-component
布:bu4	布	bù	cloth / to declare / to announce / to spread / to make known	怖钸鈽		4/5	4	380	once:𠂇+巾;radical:𠂇+巾			https://hanzicraft.com/dashboard/character/%E5%B8%83%E6%80%96%E9%92%B8%E9%88%BD	[sound:bu4.mp3]	phonetic-component
才:cai2	才	cái	a moment ago / just now / (preceded by a clause of condition or reason) not until / (followed by a numerical clause) only	财財材		4/8	7	235	once:𠂇+㇒;radical:𠂇+㇒			https://hanzicraft.com/dashboard/character/%E6%89%8D%E8%B4%A2%E8%B2%A1%E6%9D%90	[sound:cai2.mp3]	phonetic-component
